record_id,collection_month,year,month,month_name,city,state,e_waste_type,collection_channel,sector,e_waste_collected_kg,formal_collected_kg,informal_collected_kg,material_recovered_kg,disposed_kg,hazardous_kg,estimated_jobs_supported,estimated_revenue_inr,recovery_rate_pct,compliance_score_pct,worker_safety_score_pct,primary_material,recycling_method,quarter,formal_share_pct,informal_share_pct,recovery_value_inr_per_kg
EW100740,2023-08-01,2023,8,Aug,Bhopal,Madhya Pradesh,Tablet,Authorized Collection Center,Formal,1823,1618.52,204.48,1427.5,395.5,67.46,2,192529.43,78.31,91.1,78.84,Ferrous Metals,Manual Sorting,Q3,88.78,11.22,134.87
EW100003,2023-08-01,2023,8,Aug,Indore,Madhya Pradesh,Mobile Phone,Retailer,Formal,1665,1485.61,179.39,1267.14,397.86,127.88,2,78314.17,76.1,98.27,93.6,Non-ferrous Metals,Dismantling,Q3,89.23,10.77,61.8
EW100264,2023-08-01,2023,8,Aug,Mumbai,Maharashtra,Television,Producer Take-back,Formal,4580,4355.58,224.42,4096.01,483.99,397.1,10,608859.36,89.43,85.3,79.83,Mixed/Other,Manual Sorting,Q3,95.1,4.9,148.65
EW100873,2023-08-01,2023,8,Aug,Mumbai,Maharashtra,Mobile Phone,Informal Collector,Informal,2884,302.95,2581.05,1284.03,1599.97,330.8,6,117482.97,44.52,29.26,53.99,Aluminium,Manual Sorting,Q3,10.5,89.5,91.5
EW101131,2023-08-01,2023,8,Aug,Mumbai,Maharashtra,Tablet,Producer Take-back,Formal,4706,4599.75,106.25,3594.67,1111.33,498.21,5,158597.94,76.38,84.08,95.61,Glass,Refurbishment,Q3,97.74,2.26,44.12
EW100421,2023-08-01,2023,8,Aug,Nagpur,Maharashtra,Refrigerator,Informal Collector,Informal,2285,577.75,1707.25,1454.74,830.26,159.74,5,161889.05,63.66,32.51,32.31,Glass,Manual Sorting,Q3,25.28,74.72,111.28
EW100785,2023-08-01,2023,8,Aug,Nagpur,Maharashtra,Mobile Phone,Informal Collector,Informal,1736,400.28,1335.72,753.57,982.43,193.28,5,83732.98,43.41,24.09,40.14,Mixed/Other,Landfill/Disposal,Q3,23.06,76.94,111.12
EW101049,2023-08-01,2023,8,Aug,Nagpur,Maharashtra,Mobile Phone,Producer Take-back,Formal,3485,2800.87,684.13,2684.19,800.81,169.91,5,114182.75,77.02,82.21,87.65,Plastic,Manual Sorting,Q3,80.37,19.63,42.54
EW100485,2023-08-01,2023,8,Aug,Nashik,Maharashtra,Desktop/PC,Scrap Dealer,Informal,1457,87.26,1369.74,577.88,879.12,92.67,2,87129.7,39.66,33.29,28.57,Aluminium,Repair & Reuse,Q3,5.99,94.01,150.77
EW100018,2023-08-01,2023,8,Aug,Pune,Maharashtra,Desktop/PC,Informal Collector,Informal,1039,254.23,784.77,355.41,683.59,77.85,3,52047.09,34.21,6.74,64.75,Aluminium,Manual Sorting,Q3,24.47,75.53,146.44
EW100456,2023-08-01,2023,8,Aug,Pune,Maharashtra,Mobile Phone,Municipal Collection,Formal,4456,3978.0,478.0,3427.9,1028.1,141.34,8,589931.11,76.93,90.17,85.45,Plastic,Dismantling,Q3,89.27,10.73,172.1
EW100900,2023-08-01,2023,8,Aug,Jaipur,Rajasthan,Mobile Phone,Retailer,Formal,837,679.43,157.57,709.6,127.4,66.3,1,59723.76,84.78,85.85,77.45,Non-ferrous Metals,Repair & Reuse,Q3,81.17,18.83,84.17
EW100288,2023-08-01,2023,8,Aug,Chennai,Tamil Nadu,Laptop,Retailer,Formal,896,722.51,173.49,677.72,218.28,30.23,1,82415.53,75.64,90.68,79.62,Glass,Dismantling,Q3,80.64,19.36,121.61
EW100215,2023-08-01,2023,8,Aug,Hyderabad,Telangana,Small Appliance,Authorized Collection Center,Formal,2074,1633.43,440.57,1596.46,477.54,233.48,2,164672.28,76.97,96.36,91.99,Non-ferrous Metals,Dismantling,Q3,78.76,21.24,103.15
EW100391,2023-08-01,2023,8,Aug,Kolkata,West Bengal,Air Conditioner,Retailer,Formal,3677,2900.86,776.14,3165.93,511.07,174.14,3,355130.14,86.1,94.72,77.43,Plastic,Landfill/Disposal,Q3,78.89,21.11,112.17
EW100588,2023-08-01,2023,8,Aug,Kolkata,West Bengal,Tablet,Producer Take-back,Formal,1072,788.9,283.1,893.66,178.34,127.6,1,37327.56,83.36,93.71,81.06,Aluminium,Repair & Reuse,Q3,73.59,26.41,41.77
EW100246,2023-09-01,2023,9,Sep,Guwahati,Assam,Monitor,Retailer,Formal,524,496.32,27.68,443.23,80.77,55.03,1,49898.81,84.59,78.47,93.82,Non-ferrous Metals,Dismantling,Q3,94.72,5.28,112.58
EW100704,2023-09-01,2023,9,Sep,Delhi,Delhi,Refrigerator,Producer Take-back,Formal,4893,4105.98,787.02,4166.17,726.83,549.49,4,611260.2,85.15,89.8,89.37,Plastic,Dismantling,Q3,83.92,16.08,146.72
EW100021,2023-09-01,2023,9,Sep,Ahmedabad,Gujarat,Printer,Informal Collector,Informal,2886,372.71,2513.29,1017.27,1868.73,245.41,5,36369.07,35.25,30.12,28.74,Mixed/Other,Landfill/Disposal,Q3,12.91,87.09,35.75
EW100055,2023-09-01,2023,9,Sep,Ahmedabad,Gujarat,Television,Informal Collector,Informal,3570,395.22,3174.78,2219.87,1350.13,373.98,17,117704.26,62.18,34.23,62.23,Glass,Material Recovery,Q3,11.07,88.93,53.02
EW100356,2023-09-01,2023,9,Sep,Ahmedabad,Gujarat,Laptop,Authorized Collection Center,Formal,1267,1076.97,190.03,1083.88,183.12,65.27,2,157380.73,85.55,82.5,84.86,Precious Metals,Manual Sorting,Q3,85.0,15.0,145.2
EW100669,2023-09-01,2023,9,Sep,Ahmedabad,Gujarat,Laptop,Authorized Collection Center,Formal,2772,2318.84,453.16,2082.73,689.27,181.25,4,159528.51,75.13,81.45,95.67,Copper,Landfill/Disposal,Q3,83.65,16.35,76.6
EW100854,2023-09-01,2023,9,Sep,Ahmedabad,Gujarat,Small Appliance,Municipal Collection,Formal,2138,1571.68,566.32,1970.32,167.68,106.96,5,117964.45,92.16,93.52,80.36,Glass,Refurbishment,Q3,73.51,26.49,59.87
EW100857,2023-09-01,2023,9,Sep,Surat,Gujarat,Desktop/PC,Producer Take-back,Formal,1399,1336.86,62.14,998.87,400.13,113.91,1,151028.19,71.4,76.69,91.53,Precious Metals,Repair & Reuse,Q3,95.56,4.44,151.2
EW101006,2023-09-01,2023,9,Sep,Surat,Gujarat,Laptop,Municipal Collection,Formal,1736,1512.61,223.39,1482.65,253.35,102.99,3,114754.92,85.41,84.65,93.35,Non-ferrous Metals,Material Recovery,Q3,87.13,12.87,77.4
EW100013,2023-09-01,2023,9,Sep,Bengaluru,Karnataka,Printer,Scrap Dealer,Informal,2891,567.12,2323.88,741.93,2149.07,219.97,6,95375.42,25.66,11.97,51.09,Mixed/Other,Dismantling,Q3,19.62,80.38,128.55
EW100186,2023-09-01,2023,9,Sep,Bengaluru,Karnataka,Monitor,Retailer,Formal,1969,1614.39,354.61,1569.36,399.64,161.72,4,77426.81,79.7,96.35,75.3,Plastic,Refurbishment,Q3,81.99,18.01,49.34
EW100598,2023-09-01,2023,9,Sep,Bengaluru,Karnataka,Laptop,Informal Collector,Informal,2961,702.66,2258.34,1231.97,1729.03,292.66,6,100686.12,41.61,43.97,64.38,Glass,Dismantling,Q3,23.73,76.27,81.73
EW100944,2023-09-01,2023,9,Sep,Bengaluru,Karnataka,Laptop,Authorized Collection Center,Formal,1650,1452.47,197.53,1202.01,447.99,75.82,3,171522.45,72.85,90.83,84.76,Glass,Dismantling,Q3,88.03,11.97,142.7
EW100745,2023-09-01,2023,9,Sep,Mysuru,Karnataka,Mobile Phone,Authorized Collection Center,Formal,1267,1026.2,240.8,976.19,290.81,91.5,1,49363.24,77.05,78.5,75.8,Non-ferrous Metals,Repair & Reuse,Q3,80.99,19.01,50.57
EW101016,2023-09-01,2023,9,Sep,Mysuru,Karnataka,Printer,Informal Collector,Informal,3971,829.35,3141.65,1717.17,2253.83,314.71,13,303078.28,43.24,19.68,29.35,Glass,Refurbishment,Q3,20.89,79.11,176.5
EW101054,2023-09-01,2023,9,Sep,Mysuru,Karnataka,Tablet,Scrap Dealer,Informal,3554,126.19,3427.81,1340.19,2213.81,423.65,10,72393.69,37.71,43.77,64.29,Aluminium,Manual Sorting,Q3,3.55,96.45,54.02
EW100494,2023-09-01,2023,9,Sep,Kochi,Kerala,Laptop,Informal Collector,Informal,1000,81.75,918.25,641.57,358.43,64.77,2,61666.94,64.16,8.78,25.66,Ferrous Metals,Landfill/Disposal,Q3,8.18,91.82,96.12
EW100929,2023-09-01,2023,9,Sep,Kochi,Kerala,Laptop,Retailer,Formal,3642,3277.34,364.66,2591.72,1050.28,130.58,8,346694.79,71.16,85.02,91.84,Plastic,Material Recovery,Q3,89.99,10.01,133.77
EW100253,2023-09-01,2023,9,Sep,Indore,Madhya Pradesh,Monitor,Municipal Collection,Formal,2322,2092.29,229.71,2002.86,319.14,105.54,3,189738.75,86.26,95.89,90.15,Mixed/Other,Manual Sorting,Q3,90.11,9.89,94.73
EW100286,2023-09-01,2023,9,Sep,Indore,Madhya Pradesh,Mobile Phone,Authorized Collection Center,Formal,3871,3026.13,844.87,2682.21,1188.79,368.57,3,330465.85,69.29,81.75,79.16,Ferrous Metals,Material Recovery,Q3,78.17,21.83,123.21
EW100388,2023-09-01,2023,9,Sep,Indore,Madhya Pradesh,Desktop/PC,Retailer,Formal,1379,1253.94,125.06,1152.93,226.07,132.13,2,203417.36,83.61,88.77,83.2,Copper,Landfill/Disposal,Q3,90.93,9.07,176.44
EW100825,2023-09-01,2023,9,Sep,Indore,Madhya Pradesh,Desktop/PC,Producer Take-back,Formal,2671,2360.63,310.37,2403.39,267.61,151.48,3,399835.21,89.98,96.62,98.44,Aluminium,Repair & Reuse,Q3,88.38,11.62,166.36
EW101069,2023-09-01,2023,9,Sep,Indore,Madhya Pradesh,Monitor,Retailer,Formal,3389,3228.03,160.97,2578.59,810.41,196.68,4,208781.1,76.09,80.12,96.74,Plastic,Dismantling,Q3,95.25,4.75,80.97
EW100170,2023-09-01,2023,9,Sep,Mumbai,Maharashtra,Tablet,Producer Take-back,Formal,2318,1874.1,443.9,2098.39,219.61,114.5,3,94287.73,90.53,93.32,84.8,Glass,Landfill/Disposal,Q3,80.85,19.15,44.93
EW100199,2023-09-01,2023,9,Sep,Mumbai,Maharashtra,Tablet,Informal Collector,Informal,3255,402.86,2852.14,1755.29,1499.71,179.77,12,67670.45,53.93,17.25,44.71,Aluminium,Repair & Reuse,Q3,12.38,87.62,38.55
EW100938,2023-09-01,2023,9,Sep,Mumbai,Maharashtra,Air Conditioner,Authorized Collection Center,Formal,3258,3116.56,141.44,2991.02,266.98,194.21,6,397754.95,91.81,94.36,82.12,Aluminium,Material Recovery,Q3,95.66,4.34,132.98
EW100981,2023-09-01,2023,9,Sep,Nagpur,Maharashtra,Mobile Phone,Informal Collector,Informal,605,132.44,472.56,380.65,224.35,57.18,2,48574.75,62.92,20.51,39.16,Non-ferrous Metals,Dismantling,Q3,21.89,78.11,127.61
EW100086,2023-09-01,2023,9,Sep,Nashik,Maharashtra,Refrigerator,Authorized Collection Center,Formal,1720,1413.33,306.67,1291.67,428.33,125.39,1,204817.2,75.1,75.85,82.9,Ferrous Metals,Manual Sorting,Q3,82.17,17.83,158.57
EW100355,2023-09-01,2023,9,Sep,Nashik,Maharashtra,Laptop,Producer Take-back,Formal,3412,2957.5,454.5,2908.34,503.66,310.89,8,522215.58,85.24,92.28,81.89,Mixed/Other,Material Recovery,Q3,86.68,13.32,179.56
EW100418,2023-09-01,2023,9,Sep,Nashik,Maharashtra,Television,Informal Collector,Informal,2041,566.32,1474.68,1009.35,1031.65,129.37,8,60275.38,49.45,20.38,35.61,Glass,Refurbishment,Q3,27.75,72.25,59.72
EW100168,2023-09-01,2023,9,Sep,Pune,Maharashtra,Monitor,Municipal Collection,Formal,1901,1454.6,446.4,1644.6,256.4,198.35,1,114763.06,86.51,78.41,83.35,Precious Metals,Dismantling,Q3,76.52,23.48,69.78
EW100259,2023-09-01,2023,9,Sep,Pune,Maharashtra,Monitor,Informal Collector,Informal,2035,446.26,1588.74,983.89,1051.11,204.27,8,148996.11,48.35,25.72,26.31,Copper,Material Recovery,Q3,21.93,78.07,151.44
EW100425,2023-09-01,2023,9,Sep,Jaipur,Rajasthan,Desktop/PC,Retailer,Formal,3667,3471.23,195.77,2892.42,774.58,256.67,4,401779.92,78.88,83.61,81.43,Ferrous Metals,Manual Sorting,Q3,94.66,5.34,138.91
EW100943,2023-09-01,2023,9,Sep,Jaipur,Rajasthan,Monitor,Informal Collector,Informal,982,161.03,820.97,381.66,600.34,47.27,4,16338.88,38.87,7.79,39.82,Copper,Landfill/Disposal,Q3,16.4,83.6,42.81
EW100063,2023-09-01,2023,9,Sep,Chennai,Tamil Nadu,Laptop,Scrap Dealer,Informal,654,83.56,570.44,389.4,264.6,73.95,2,40778.12,59.54,41.74,46.42,Plastic,Repair & Reuse,Q3,12.78,87.22,104.72
EW100817,2023-09-01,2023,9,Sep,Hyderabad,Telangana,Small Appliance,Authorized Collection Center,Formal,1214,930.62,283.38,858.11,355.89,42.11,1,107569.88,70.68,95.17,91.38,Aluminium,Material Recovery,Q3,76.66,23.34,125.36
EW100686,2023-09-01,2023,9,Sep,Lucknow,Uttar Pradesh,Monitor,Producer Take-back,Formal,1325,1249.54,75.46,1007.4,317.6,118.32,2,104170.13,76.03,86.9,92.57,Copper,Material Recovery,Q3,94.3,5.7,103.4
EW101093,2023-09-01,2023,9,Sep,Lucknow,Uttar Pradesh,Refrigerator,Municipal Collection,Formal,4713,3576.26,1136.74,4208.96,504.04,258.43,6,279600.86,89.31,89.05,83.35,Precious Metals,Landfill/Disposal,Q3,75.88,24.12,66.43
EW100531,2023-09-01,2023,9,Sep,Kolkata,West Bengal,Monitor,Informal Collector,Informal,2836,130.28,2705.72,770.84,2065.16,255.2,12,83835.73,27.18,7.19,44.1,Non-ferrous Metals,Refurbishment,Q3,4.59,95.41,108.76
EW100122,2023-10-01,2023,10,Oct,Guwahati,Assam,Monitor,Authorized Collection Center,Formal,1542,1345.42,196.58,1115.92,426.08,148.52,3,74127.54,72.37,77.3,75.57,Precious Metals,Material Recovery,Q4,87.25,12.75,66.43
EW100242,2023-10-01,2023,10,Oct,Guwahati,Assam,Printer,Producer Take-back,Formal,1859,1700.2,158.8,1706.16,152.84,128.39,2,167183.83,91.78,92.36,75.22,Mixed/Other,Repair & Reuse,Q4,91.46,8.54,97.99
EW100614,2023-10-01,2023,10,Oct,Guwahati,Assam,Desktop/PC,Producer Take-back,Formal,214,187.45,26.55,188.72,25.28,20.85,1,23321.48,88.19,95.91,75.37,Mixed/Other,Repair & Reuse,Q4,87.59,12.41,123.58
EW100648,2023-10-01,2023,10,Oct,Guwahati,Assam,Monitor,Authorized Collection Center,Formal,116,106.78,9.22,104.26,11.74,9.93,1,4077.41,89.88,94.88,93.92,Ferrous Metals,Landfill/Disposal,Q4,92.05,7.95,39.11
EW100915,2023-10-01,2023,10,Oct,Guwahati,Assam,Small Appliance,Authorized Collection Center,Formal,1390,1203.85,186.15,1040.78,349.22,57.96,2,97902.5,74.88,91.77,96.7,Plastic,Repair & Reuse,Q4,86.61,13.39,94.07
EW101005,2023-10-01,2023,10,Oct,Guwahati,Assam,Mobile Phone,Municipal Collection,Formal,2859,2374.65,484.35,2260.41,598.59,310.11,4,188388.53,79.06,83.12,79.72,Aluminium,Dismantling,Q4,83.06,16.94,83.34
EW100778,2023-10-01,2023,10,Oct,Delhi,Delhi,Monitor,Municipal Collection,Formal,417,362.11,54.89,336.06,80.94,33.15,1,39316.54,80.59,92.17,77.63,Copper,Landfill/Disposal,Q4,86.84,13.16,116.99
EW100626,2023-10-01,2023,10,Oct,Surat,Gujarat,Tablet,Informal Collector,Informal,1746,187.66,1558.34,847.97,898.03,123.79,7,55938.05,48.57,5.43,54.95,Precious Metals,Landfill/Disposal,Q4,10.75,89.25,65.97
EW100562,2023-10-01,2023,10,Oct,Bengaluru,Karnataka,Mobile Phone,Municipal Collection,Formal,4973,4215.02,757.98,3948.76,1024.24,489.48,7,678456.29,79.4,96.66,95.93,Copper,Landfill/Disposal,Q4,84.76,15.24,171.82
EW100640,2023-10-01,2023,10,Oct,Bengaluru,Karnataka,Desktop/PC,Producer Take-back,Formal,1833,1499.81,333.19,1397.37,435.63,166.72,2,165858.84,76.23,76.58,79.59,Plastic,Refurbishment,Q4,81.82,18.18,118.69
EW100680,2023-10-01,2023,10,Oct,Bengaluru,Karnataka,Laptop,Producer Take-back,Formal,1052,960.95,91.05,853.0,199.0,37.98,2,129541.49,81.08,81.95,90.94,Copper,Material Recovery,Q4,91.35,8.65,151.87
EW101043,2023-10-01,2023,10,Oct,Bengaluru,Karnataka,Television,Producer Take-back,Formal,220,193.14,26.86,160.19,59.81,19.01,1,7089.24,72.81,82.93,80.55,Ferrous Metals,Repair & Reuse,Q4,87.79,12.21,44.26
EW100082,2023-10-01,2023,10,Oct,Mysuru,Karnataka,Television,Scrap Dealer,Informal,3840,187.1,3652.9,1504.7,2335.3,214.47,9,103633.36,39.18,6.68,20.8,Aluminium,Refurbishment,Q4,4.87,95.13,68.87
EW100924,2023-10-01,2023,10,Oct,Mysuru,Karnataka,Printer,Municipal Collection,Formal,4372,4032.66,339.34,3079.05,1292.95,199.1,3,372809.97,70.43,96.28,91.1,Mixed/Other,Material Recovery,Q4,92.24,7.76,121.08
EW100647,2023-10-01,2023,10,Oct,Kochi,Kerala,Desktop/PC,Authorized Collection Center,Formal,3798,3597.18,200.82,2907.89,890.11,314.86,8,287837.27,76.56,75.43,76.79,Precious Metals,Manual Sorting,Q4,94.71,5.29,98.98
EW100252,2023-10-01,2023,10,Oct,Indore,Madhya Pradesh,Mobile Phone,Authorized Collection Center,Formal,1816,1407.57,408.43,1381.72,434.28,81.76,2,101974.08,76.09,83.06,92.99,Mixed/Other,Material Recovery,Q4,77.51,22.49,73.8
EW100754,2023-10-01,2023,10,Oct,Indore,Madhya Pradesh,Television,Informal Collector,Informal,4921,1252.65,3668.35,3036.17,1884.83,559.81,12,282520.44,61.7,39.82,36.16,Mixed/Other,Landfill/Disposal,Q4,25.46,74.54,93.05
EW100599,2023-10-01,2023,10,Oct,Mumbai,Maharashtra,Small Appliance,Authorized Collection Center,Formal,1062,1021.3,40.7,769.78,292.22,87.26,1,109496.88,72.48,86.98,81.53,Plastic,Refurbishment,Q4,96.17,3.83,142.24
EW100050,2023-10-01,2023,10,Oct,Nagpur,Maharashtra,Air Conditioner,Retailer,Formal,4286,3907.01,378.99,3536.01,749.99,354.83,7,317964.81,82.5,83.1,96.59,Mixed/Other,Dismantling,Q4,91.16,8.84,89.92
EW100108,2023-10-01,2023,10,Oct,Nagpur,Maharashtra,Television,Producer Take-back,Formal,2971,2779.4,191.6,2353.12,617.88,155.63,5,323513.75,79.2,79.01,79.02,Ferrous Metals,Material Recovery,Q4,93.55,6.45,137.48
EW100308,2023-10-01,2023,10,Oct,Nagpur,Maharashtra,Laptop,Scrap Dealer,Informal,4860,482.1,4377.9,1729.22,3130.78,268.23,12,69531.67,35.58,42.08,29.62,Mixed/Other,Refurbishment,Q4,9.92,90.08,40.21
EW100677,2023-10-01,2023,10,Oct,Nagpur,Maharashtra,Printer,Authorized Collection Center,Formal,4710,3422.39,1287.61,3280.7,1429.3,235.02,7,374510.66,69.65,75.82,79.09,Precious Metals,Dismantling,Q4,72.66,27.34,114.16
EW100143,2023-10-01,2023,10,Oct,Nashik,Maharashtra,Laptop,Municipal Collection,Formal,2501,2116.76,384.24,2299.11,201.89,192.25,4,132687.7,91.93,76.05,77.66,Non-ferrous Metals,Refurbishment,Q4,84.64,15.36,57.71
EW100234,2023-10-01,2023,10,Oct,Nashik,Maharashtra,Air Conditioner,Producer Take-back,Formal,3173,2839.53,333.47,2814.89,358.11,166.72,5,331884.0,88.71,94.99,96.75,Non-ferrous Metals,Repair & Reuse,Q4,89.49,10.51,117.9
EW100134,2023-10-01,2023,10,Oct,Pune,Maharashtra,Television,Scrap Dealer,Informal,2030,407.44,1622.56,1306.25,723.75,104.6,4,68709.67,64.35,17.13,24.55,Mixed/Other,Repair & Reuse,Q4,20.07,79.93,52.6
EW100490,2023-10-01,2023,10,Oct,Pune,Maharashtra,Small Appliance,Scrap Dealer,Informal,1968,471.05,1496.95,645.46,1322.54,205.49,6,93925.37,32.8,33.54,29.34,Mixed/Other,Manual Sorting,Q4,23.94,76.06,145.52
EW100518,2023-10-01,2023,10,Oct,Pune,Maharashtra,Monitor,Scrap Dealer,Informal,2542,511.8,2030.2,727.52,1814.48,190.08,6,101878.54,28.62,12.58,60.15,Non-ferrous Metals,Dismantling,Q4,20.13,79.87,140.04
EW101192,2023-10-01,2023,10,Oct,Pune,Maharashtra,Tablet,Municipal Collection,Formal,4570,3931.61,638.39,3211.24,1358.76,440.97,6,336080.57,70.27,98.38,83.26,Copper,Landfill/Disposal,Q4,86.03,13.97,104.66
EW100720,2023-10-01,2023,10,Oct,Chennai,Tamil Nadu,Monitor,Authorized Collection Center,Formal,2415,2113.35,301.65,1841.97,573.03,170.57,2,275435.76,76.27,90.23,87.79,Glass,Refurbishment,Q4,87.51,12.49,149.53
EW101080,2023-10-01,2023,10,Oct,Chennai,Tamil Nadu,Tablet,Authorized Collection Center,Formal,3122,2661.42,460.58,2537.59,584.41,322.46,6,425025.29,81.28,94.99,81.09,Mixed/Other,Manual Sorting,Q4,85.25,14.75,167.49
EW100946,2023-10-01,2023,10,Oct,Hyderabad,Telangana,Monitor,Scrap Dealer,Informal,3274,812.56,2461.44,1211.03,2062.97,340.86,6,101070.42,36.99,25.72,30.19,Plastic,Manual Sorting,Q4,24.82,75.18,83.46
EW100067,2023-10-01,2023,10,Oct,Lucknow,Uttar Pradesh,Television,Scrap Dealer,Informal,134,8.12,125.88,71.88,62.12,11.97,1,4829.07,53.64,14.24,50.24,Copper,Landfill/Disposal,Q4,6.06,93.94,67.18
EW100522,2023-10-01,2023,10,Oct,Kolkata,West Bengal,Laptop,Informal Collector,Informal,4013,376.45,3636.55,1777.42,2235.58,380.28,11,219434.17,44.29,20.3,33.7,Mixed/Other,Repair & Reuse,Q4,9.38,90.62,123.46
EW100837,2023-10-01,2023,10,Oct,Kolkata,West Bengal,Printer,Retailer,Formal,1002,840.17,161.83,727.48,274.52,87.23,1,115373.67,72.6,93.16,89.65,Ferrous Metals,Refurbishment,Q4,83.85,16.15,158.59
EW100959,2023-10-01,2023,10,Oct,Kolkata,West Bengal,Laptop,Municipal Collection,Formal,352,298.85,53.15,278.8,73.2,40.79,1,22357.93,79.2,82.39,81.94,Aluminium,Repair & Reuse,Q4,84.9,15.1,80.19
EW100979,2023-11-01,2023,11,Nov,Delhi,Delhi,Air Conditioner,Municipal Collection,Formal,2989,2739.54,249.46,2329.78,659.22,200.28,5,346487.84,77.95,91.0,96.6,Aluminium,Manual Sorting,Q4,91.65,8.35,148.72
EW100393,2023-11-01,2023,11,Nov,Surat,Gujarat,Television,Informal Collector,Informal,1754,97.27,1656.73,949.27,804.73,180.98,4,139819.26,54.12,20.42,42.8,Mixed/Other,Landfill/Disposal,Q4,5.55,94.45,147.29
EW100402,2023-11-01,2023,11,Nov,Surat,Gujarat,Refrigerator,Authorized Collection Center,Formal,1324,1108.28,215.72,987.25,336.75,92.49,2,64043.79,74.57,97.85,83.2,Precious Metals,Repair & Reuse,Q4,83.71,16.29,64.87
EW100549,2023-11-01,2023,11,Nov,Surat,Gujarat,Small Appliance,Municipal Collection,Formal,4404,4159.01,244.99,3299.33,1104.67,366.3,7,124081.94,74.92,97.39,76.88,Plastic,Repair & Reuse,Q4,94.44,5.56,37.61
EW100627,2023-11-01,2023,11,Nov,Surat,Gujarat,Air Conditioner,Producer Take-back,Formal,552,511.45,40.55,389.56,162.44,30.04,1,33205.67,70.57,98.35,98.51,Mixed/Other,Dismantling,Q4,92.65,7.35,85.24
EW100702,2023-11-01,2023,11,Nov,Surat,Gujarat,Printer,Retailer,Formal,3759,3505.93,253.07,3130.5,628.5,198.09,4,264075.61,83.28,86.44,82.11,Glass,Manual Sorting,Q4,93.27,6.73,84.36
EW100926,2023-11-01,2023,11,Nov,Bengaluru,Karnataka,Laptop,Informal Collector,Informal,336,8.02,327.98,192.74,143.26,38.46,1,10384.67,57.36,8.25,20.94,Non-ferrous Metals,Manual Sorting,Q4,2.39,97.61,53.88
EW100124,2023-11-01,2023,11,Nov,Mysuru,Karnataka,Desktop/PC,Scrap Dealer,Informal,1321,142.24,1178.76,808.73,512.27,131.49,3,103975.92,61.22,28.83,38.05,Ferrous Metals,Material Recovery,Q4,10.77,89.23,128.57
EW100287,2023-11-01,2023,11,Nov,Mysuru,Karnataka,Mobile Phone,Scrap Dealer,Informal,2543,418.78,2124.22,1506.98,1036.02,267.41,12,132694.34,59.26,17.72,53.72,Plastic,Landfill/Disposal,Q4,16.47,83.53,88.05
EW100737,2023-11-01,2023,11,Nov,Kochi,Kerala,Laptop,Informal Collector,Informal,383,24.05,358.95,118.53,264.47,27.22,1,16423.2,30.95,7.78,63.75,Copper,Repair & Reuse,Q4,6.28,93.72,138.56
EW100935,2023-11-01,2023,11,Nov,Kochi,Kerala,Tablet,Retailer,Formal,3988,3592.28,395.72,3549.12,438.88,357.8,4,177376.49,89.0,88.75,84.64,Copper,Repair & Reuse,Q4,90.08,9.92,49.98
EW100169,2023-11-01,2023,11,Nov,Bhopal,Madhya Pradesh,Refrigerator,Scrap Dealer,Informal,1754,419.86,1334.14,616.69,1137.31,57.53,7,31093.35,35.16,17.6,20.17,Precious Metals,Landfill/Disposal,Q4,23.94,76.06,50.42
EW100535,2023-11-01,2023,11,Nov,Bhopal,Madhya Pradesh,Laptop,Municipal Collection,Formal,1814,1339.99,474.01,1662.24,151.76,210.78,1,186490.8,91.63,82.28,84.43,Non-ferrous Metals,Dismantling,Q4,73.87,26.13,112.19
EW100575,2023-11-01,2023,11,Nov,Bhopal,Madhya Pradesh,Small Appliance,Informal Collector,Informal,2491,242.86,2248.14,1043.77,1447.23,141.61,6,61293.43,41.9,19.51,31.29,Precious Metals,Refurbishment,Q4,9.75,90.25,58.72
EW100958,2023-11-01,2023,11,Nov,Bhopal,Madhya Pradesh,Television,Municipal Collection,Formal,1651,1465.9,185.1,1545.82,105.18,81.31,2,228973.61,93.63,83.14,84.11,Ferrous Metals,Material Recovery,Q4,88.79,11.21,148.12
EW101058,2023-11-01,2023,11,Nov,Bhopal,Madhya Pradesh,Television,Scrap Dealer,Informal,2962,825.64,2136.36,1214.91,1747.09,259.0,13,117089.51,41.02,35.96,63.73,Non-ferrous Metals,Refurbishment,Q4,27.87,72.13,96.38
EW101185,2023-11-01,2023,11,Nov,Indore,Madhya Pradesh,Laptop,Retailer,Formal,1261,1092.48,168.52,972.91,288.09,106.61,1,35404.23,77.15,75.41,84.78,Copper,Material Recovery,Q4,86.64,13.36,36.39
EW100093,2023-11-01,2023,11,Nov,Mumbai,Maharashtra,Laptop,Retailer,Formal,3074,2415.1,658.9,2091.14,982.86,136.19,4,359517.69,68.03,77.45,95.5,Precious Metals,Manual Sorting,Q4,78.57,21.43,171.92
EW100208,2023-11-01,2023,11,Nov,Mumbai,Maharashtra,Monitor,Scrap Dealer,Informal,1852,179.23,1672.77,564.19,1287.81,164.18,7,45567.67,30.46,30.79,37.78,Mixed/Other,Landfill/Disposal,Q4,9.68,90.32,80.77
EW100772,2023-11-01,2023,11,Nov,Mumbai,Maharashtra,Printer,Informal Collector,Informal,2452,187.52,2264.48,1313.42,1138.58,155.2,6,80323.8,53.57,27.1,29.7,Glass,Landfill/Disposal,Q4,7.65,92.35,61.16
